# id	file_path	transparent_color_r	g	b
[TEXTURES]
1	textures\Jason-and-Sophia.png	0	57	115
2	textures\locust.png					255				255	255
3	textures\chowmein_conga.png				255				255	255
4	textures\jellyfish.png					255				255	255
5	textures\chumein_conga.png				255				255	255
6	textures\enormous_moray.png				255				255	255
7	textures\mini_sub_88.png				255				255	255
8	textures\marine_diver.png				255				255	255
9	textures\slog_noid.png				255				255	255
10	textures\slug_mariner.png				255				255	255
67	textures\misson-1.png	255	255	255
68	textures\marco_rossi.png				255				255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
# tiled map sprites
627	1088	50	1089	50	1090	50	1091	50	1092	50	1093	50	1094	50	1095	50	1096	50	1097	50	1098	50	1099	50	1100	50	1101	50	1102	50
#============ENORMOUS ========================================
#idle/attack
628	1103	50	1104	50	1105	50	1106	50	1107	50	1108	50	1109	50	1110	50	1111	50	1112	50	1113	50	1114	50	1115	50	1116	50	1117	50	1118	50	1119	50	1120	50	1121	50
#crashing again the wall
629	1122	50	1123	50	1124	50	1125	50	1126	50	1127	50	1128	50	1129	50	1130	50	1131	50	1132	50	1133	50	1134	50	1135	50	1136	50	1137	50	1138	50	1139	50	1140	50	1141	50	1142	50	1143	50
#return
630	1144	50	1145	50	1146	50	1147	50	1148	50	1149	50	1150	50	1151	50	1152	50	1153	50
#effect
631
#============MINI SUB 88 =====================================
#swimming
632	1500	50	1501	50	1502	50	1503	50	1504	50	1505	50	1506	50
#turning
633	1507	50	1508	50	1509	50	1510	50	1511	50	1512	50	1513	50	1514	50	1515	50	1516	50
#torpedoes
634	1517	50	1518	50	1519	50	1520	50	1521	50	1522	50	1523	50	1524	50	1525	50	1526	50	1527	50
#effect
635	1528	50	1529	50	1530	50	1531	50	1532	50	1533	50	1534	50	1535	50	1536	50	1537	50	1538	50	1539	50
#get hit
636	1540	50	1541	50	1542	50	1543	50	1544	50
#falling apart
637	1545	50	1546	50	1547	50	1548	50	1549	50	1550	50
#debirs
638	1551	50	1552	50	1553	50	1554	50	1555	50	1556	50	1557	50	1558	50	1559	50	1560	50	1561	50	1562	50	1563	50	1564	50	1565	50	1566	50	1567	50	1568	50	1569	50	1570	50	1571	50	1572	50	1573	50	1574	50	1575	50	1550	50	1576	50	1577	50	1578	50	1579	50	1580	50	1581	50	1582	50	1583	50	1584	50	1585	50
#============MARINER DRIVER ==================================
#deploy
639	1600	50	1601	50	1602	50	1603	50	1604	50	1605	50	1606	50
#idle
640	1607	50
#kamikaze
641	1608	50	1609	50	1610	50	1610	50
#effects
642	1612	50	1613	50	1614	50	1615	50	1616	50	1617	50	1618	50	1619	50	1620	50	1621	50	1622	50	1623	50	1624	50	1625	50	1626	50	1627	50	1628	50	1629	50	1630	50	1631	50	1632	50	1633	50	1634	50	1635	50	1636	50	1637	50	1638	50	1639	50
#============LEGS ROSSI ======================================
# idle
700	15	50	16	50	17	50	18	50	19	50
# lie
701	59	20
# walk
702	0	50	1	50	2	50	3	20
# run
703	20	50	21	50	22	50	23	50	24	50	25	50	26	50	27	50	28	50	29	50	30	50	31	50	32	50	33	50	34	50	35	50	36	50	37	50
# jump up
704	42	100	43	100	44	100	45	100	46	100	47	100
# swim 
705	60	50	62	50	64	50	66	50	68	50
# jump straight
705	48	50	49	50	50	50	51	50	52	50	53	50
# ====BODY ROSSI LV1=========
# idle 
800	200	50	201	50	202	50	203	50
# lie idle
801	285	20	287	20	289	20	292	20
# swim
802	285	20	287	20	289	20	292	20
# stare up
803	253	20	254	20	255	20	256	20
# shoot up
804	257	20	258	20	258	20	261	20	262	20
# shoot down
805	15	20	16	20	17	20	18	20
# shoot straight
806	204	20	205	20	206	20	207	20	208	20	209	20
# knife hit
807	267	20	268	20	269	20	270	20 	271	20	272	20
# ====BARREL ROSSI LV2=========
# ====BARREL ROSSI LV3=========
# ====BARREL ROSSI LV4=========
#background
808	3000	100
809	3001	100
#foreground
810	3500	100
811	3501	100
812	3502	100
#platform
#813	3503	100
#814	3504	100
# ==== MAIN CHARACTER =========
#idle
2000	70001	100
#explosion
2001	70002	200
# ==== WEAPON =========
# Main Character
# left
4000	100001	100
# Up
4001	100002	100
# explode
4002	100003	100	100004	100	100005	100


# id	ani1	ani2	ani3
#
[ANIMATION_SETS]

# Player 
2	2000	2001
#2	800	801	802	803	804	805	806	807
# Rossi Legs
3	700	701	702	703	704	705
# Rossi barrel
4	800	801	802	803	804	805	806	807
#locust
5	600	601	602	603	604	605	606	607
#chowmein conga
6	611	612	613	614	615	616	617
# WEAPON Player-horizontal Player-vertical Player-explode Big human-bullet Big human-explosion Cannon-bullet Cannon-explosion Eyeball-bullet Eyeball-explosion	Floater-bullet	Floater-explosion	Skull bullet left	Skull bullet right	Skull bullet explosion	Player-Rocket-right	Player-Rocket-left	Player-Rocket-up	Player-Rocket-down
7	4000	4001	4002	4003	4004	4005	4006	4007	4008	4009	4010	4011	4012	4013	4100	4101	4102	4103
#jellyfish
8	620	621
#chuwmein
9	622	623	624	625	626	627
#enormous
10	628	629	630
#mini sub 88
11	632	633	634	635	636	637	638
#mariner driver
12	639	640	641	642
#background
13	808	809
#foreground
14	810	811	812
#platform
#15	813	814

# ITEMS
# P
200	900000
[OBJECTS]
# object_id  type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Background, 1 = Foreground , 2 = Enemy1, 3 = Chowmein, 4 = Brick, 5 = Wheel_Middle, 6 = Wheel_right, 7= Body, 8= Barrel, 9= Main character, 10= Spider, 11=Human
# type: 12 = Floater, 13 = Domes, 14 = Jumpers, 15 = Insect,16 = Orbs, 17 = Skulls, 18 = Dashers, 500 = PowerHub, 22=Stair,  501 = GunHub, 42 = Legs,
# Player need to be created first!
1	9	0	200	2
#locust enemy
2	16	300	200	5
# Legs
3	42	30	132	3
#chowmein
4	3	0	250	6
# Barrel
5	7	25	118	4

# MAP OBJECT LIST
# BRICK 
# object_id 	type	l	t	ani_set_id	r	b	
#100	4	0	79.5	2	1024	70
#101	4	384	79.5	2	511.5	70
#102	4	575.5	79.5	2	701.5	70
#103	4	769	79.5	2	1024	70
#104	4	48	209	2	81	174
#105	4	112	208	2	145	158
#106	4	176	209	2	209	174
#107	4	240	207	2	273	126
#108	4	304	208	2	337	159
#109	4	368	207	2	401	172
#110	4	432	208	2	465	173
#111	4	496	208	2	529	157
#112	4	559	208	2	592	175
#113	4	624	207	2	657	126
#114	4	688	210	2	721	175
#115	4	752	208	2	785	173
#116	4	817	207	2	850	158
#117	4	880	208	2	913	127
#118	4	2	223	2	1024	209
120	4	2	18	2	1024	0
#121	4	978	206	2	1022	79
# --- SCENE PORTAL ----
# object_id 	type	l	t	ani_set_id	r	b	scene_id	type_portal: 1-Next scene 0-Previous scene	next_portal_id
#1000	50	965	121.5	2	977	80.5	2	1	1000

# path
[MAP]
Map-Blaster-Master-Area-2-A.txt
# cellx celly id_object...
[GRID]
#0	0	10	104	105	119	118	122
#0	1	106	107	108	11	118
#0	2	108	109	110	118
#0	3	111	113	13
#0	4	113	114	115	118
#0	5	116	117	12	118
#0	6	118	121
#1	0	100	120	119	136	122	123
1	0	120

